frame,landmark_id,x,y,frame_width,frame_height
33,25,503,1523,1080,1920
33,26,592,1559,1080,1920
33,27,406,2049,1080,1920
33,28,409,2090,1080,1920
33,29,336,2143,1080,1920
33,30,300,2162,1080,1920
33,31,548,2197,1080,1920
33,32,574,2277,1080,1920
34,0,651,262,1080,1920
34,1,637,224,1080,1920
34,2,631,223,1080,1920
34,3,625,223,1080,1920
34,4,649,219,1080,1920
34,5,652,215,1080,1920
34,6,655,212,1080,1920
34,7,583,221,1080,1920
34,8,633,209,1080,1920
34,9,627,292,1080,1920
34,10,638,283,1080,1920
34,11,424,395,1080,1920
34,12,574,241,1080,1920
34,13,532,751,1080,1920
34,14,676,569,1080,1920
34,15,726,971,1080,1920
34,16,894,852,1080,1920
34,17,773,1036,1080,1920
34,18,933,911,1080,1920
34,19,778,1017,1080,1920
34,20,935,918,1080,1920
34,21,760,995,1080,1920
34,22,909,900,1080,1920
34,23,412,999,1080,1920
34,24,500,943,1080,1920
34,25,530,1513,1080,1920
34,26,649,1559,1080,1920
34,27,408,2031,1080,1920
34,28,452,2135,1080,1920
34,29,340,2141,1080,1920
34,30,344,2212,1080,1920
34,31,544,2204,1080,1920
34,32,624,2322,1080,1920
35,0,641,278,1080,1920
35,1,625,241,1080,1920
35,2,617,240,1080,1920
35,3,609,239,1080,1920
35,4,641,236,1080,1920
35,5,645,231,1080,1920
35,6,650,227,1080,1920
35,7,567,232,1080,1920
35,8,632,218,1080,1920
35,9,616,304,1080,1920
35,10,633,295,1080,1920
35,11,409,383,1080,1920
35,12,582,247,1080,1920
35,13,486,721,1080,1920
35,14,681,593,1080,1920
35,15,683,942,1080,1920
35,16,856,883,1080,1920
35,17,767,1010,1080,1920
35,18,894,964,1080,1920
35,19,772,994,1080,1920
35,20,898,963,1080,1920
35,21,718,970,1080,1920
35,22,879,943,1080,1920
35,23,403,991,1080,1920
